iter	Passed	Remaining
279	1508	3878
280	1512	3871
281	1517	3862
282	1521	3854
283	1525	3847
284	1530	3838
285	1534	3829
286	1538	3821
287	1542	3814
288	1546	3805
289	1551	3797
290	1555	3789
291	1560	3782
292	1564	3775
293	1569	3768
294	1573	3761
295	1578	3754
296	1582	3745
297	1586	3737
298	1591	3730
299	1595	3723
300	1600	3715
301	1604	3708
302	1609	3701
303	1613	3693
304	1617	3685
305	1622	3679
306	1626	3672
307	1630	3664
308	1635	3656
309	1640	3650
310	1644	3643
311	1648	3635
312	1653	3628
313	1657	3622
314	1662	3615
315	1666	3608
316	1671	3602
317	1676	3594
318	1680	3586
319	1684	3579
320	1689	3573
321	1693	3566
322	1697	3558
323	1702	3551
324	1707	3545
325	1711	3538
326	1716	3531
327	1721	3526
328	1726	3520
329	1730	3513
330	1735	3508
331	1740	3502
332	1745	3496
333	1750	3490
334	1755	3484
335	1760	3479
336	1765	3473
337	1770	3467
338	1775	3461
339	1779	3455
340	1785	3449
341	1789	3443
342	1794	3437
343	1799	3432
344	1805	3427
345	1810	3421
346	1814	3414
347	1819	3409
348	1824	3402
349	1829	3396
350	1834	3391
351	1838	3385
352	1843	3378
353	1848	3373
354	1853	3368
355	1858	3362
356	1863	3356
357	1868	3350
358	1873	3345
359	1878	3339
360	1883	3334
361	1888	3327
362	1892	3321
363	1898	3316
364	1902	3309
365	1906	3303
366	1911	3297
367	1916	3291
368	1921	3286
369	1926	3280
370	1931	3275
371	1936	3269
372	1941	3263
373	1946	3257
374	1951	3251
375	1956	3246
376	1961	3241
377	1966	3236
378	1971	3230
379	1976	3224
380	1981	3219
381	1986	3213
382	1990	3207
383	1996	3202
384	2001	3196
385	2005	3190
386	2010	3185
387	2015	3178
388	2019	3172
389	2024	3166
390	2029	3161
391	2034	3154
392	2038	3148
393	2043	3142
394	2047	3136
395	2052	3130
396	2056	3123
397	2061	3118
398	2066	3112
399	2070	3106
400	2076	3101
401	2080	3095
402	2085	3088
403	2089	3082
404	2094	3077
405	2098	3070
406	2103	3064
407	2108	3059
408	2113	3053
409	2117	3046
410	2121	3040
411	2127	3035
412	2131	3029
413	2136	3024
414	2141	3018
415	2146	3013
416	2150	3007
417	2155	3001
418	2160	2995
419	2164	2989
